name,sex,percentage,abbreviation
Austria,M,8.1,AUT
Austria,F,11.9,AUT
Belgium,M,9.9,BEL
Belgium,F,14.4,BEL
Bulgaria,M,17.8,BGR
Bulgaria,F,24.1,BGR
Croatia,M,12.6,HRV
Croatia,F,17.3,HRV
Cyprus,M,8.6,CYP
Cyprus,F,14.2,CYP
Czechia,M,8.0,CZE
Czechia,F,17.6,CZE
Denmark,M,7.5,DNK
Denmark,F,7.3,DNK
Estonia,M,16.5,EST
Estonia,F,18.9,EST
Finland,M,10.0,FIN
Finland,F,11.6,FIN
France,M,11.3,FRA
France,F,12.7,FRA
Germany,M,10.5,DEU
Germany,F,15.3,DEU
Greece,M,11.2,GRC
Greece,F,19.9,GRC
Hungary,M,14.1,HUN
Hungary,F,16.9,HUN
Iceland,M,10.2,ISL
Iceland,F,8.5,ISL
Ireland,M,22.0,IRL
Ireland,F,18.4,IRL
Italy,M,17.3,ITA
Italy,F,24.1,ITA
Latvia,M,20.9,LVA
Latvia,F,20.7,LVA
Lithuania,M,16.3,LTU
Lithuania,F,13.6,LTU
Luxembourg,M,6.2,LUX
Luxembourg,F,8.8,LUX
Malta,M,8.9,MLT
Malta,F,16.4,MLT
Netherlands,M,4.9,NLD
Netherlands,F,8.2,NLD
North Macedonia,M,28.6,MKD
North Macedonia,F,37.2,MKD
Norway,M,6.2,NOR
Norway,F,8.5,NOR
Poland,M,11.6,POL
Poland,F,17.0,POL
Portugal,M,11.5,PRT
Portugal,F,13.6,PRT
Romania,M,14.6,ROU
Romania,F,21.4,ROU
Slovakia,M,14.0,SVK
Slovakia,F,19.1,SVK
Slovenia,M,7.8,SVN
Slovenia,F,8.2,SVN
Spain,M,20.4,ESP
Spain,F,19.5,ESP
Sweden,M,9.5,SWE
Sweden,F,9.1,SWE
Türkiye,M,21.3,TUR
Türkiye,F,54.3,TUR
