name,sex,percentage,abbreviation
Austria,M,7.4,AUT
Austria,F,10.4,AUT
Belgium,M,10.9,BEL
Belgium,F,15.3,BEL
Bulgaria,M,23.0,BGR
Bulgaria,F,26.7,BGR
Croatia,M,19.3,HRV
Croatia,F,18.9,HRV
Cyprus,M,14.2,CYP
Cyprus,F,15.4,CYP
Czechia,M,7.6,CZE
Czechia,F,16.9,CZE
Denmark,M,7.9,DNK
Denmark,F,8.9,DNK
Estonia,M,12.8,EST
Estonia,F,15.4,EST
Finland,M,8.8,FIN
Finland,F,10.4,FIN
France,M,10.9,FRA
France,F,13.2,FRA
Germany,M,8.5,DEU
Germany,F,13.5,DEU
Greece,M,20.3,GRC
Greece,F,25.0,GRC
Hungary,M,13.7,HUN
Hungary,F,17.4,HUN
Iceland,M,7.4,ISL
Iceland,F,7.7,ISL
Ireland,M,23.8,IRL
Ireland,F,20.9,IRL
Italy,M,19.7,ITA
Italy,F,25.8,ITA
Latvia,M,17.9,LVA
Latvia,F,20.3,LVA
Lithuania,M,15.9,LTU
Lithuania,F,13.3,LTU
Luxembourg,M,5.0,LUX
Luxembourg,F,8.2,LUX
Malta,M,9.4,MLT
Malta,F,14.9,MLT
Montenegro,M,23.7,MNE
Montenegro,F,25.6,MNE
Netherlands,M,5.1,NLD
Netherlands,F,8.0,NLD
North Macedonia,M,28.6,MKD
North Macedonia,F,34.8,MKD
Norway,M,6.5,NOR
Norway,F,9.2,NOR
Poland,M,13.3,POL
Poland,F,17.7,POL
Portugal,M,12.9,PRT
Portugal,F,14.8,PRT
Romania,M,21.6,ROU
Romania,F,27.3,ROU
Serbia,M,29.0,SRB
Serbia,F,32.3,SRB
Slovakia,M,16.9,SVK
Slovakia,F,19.0,SVK
Slovenia,M,8.3,SVN
Slovenia,F,7.7,SVN
Spain,M,20.8,ESP
Spain,F,20.4,ESP
Sweden,M,7.3,SWE
Sweden,F,7.6,SWE
Switzerland,M,7.3,CHE
Switzerland,F,8.7,CHE
Türkiye,M,16.4,TUR
Türkiye,F,48.7,TUR
