name,sex,percentage,abbreviation
Austria,M,7.0,AUT
Austria,F,10.3,AUT
Belgium,M,9.8,BEL
Belgium,F,12.5,BEL
Bulgaria,M,13.2,BGR
Bulgaria,F,20.4,BGR
Croatia,M,12.2,HRV
Croatia,F,16.3,HRV
Cyprus,M,12.2,CYP
Cyprus,F,15.9,CYP
Czechia,M,4.0,CZE
Czechia,F,15.9,CZE
Denmark,M,9.5,DNK
Denmark,F,9.6,DNK
Estonia,M,7.3,EST
Estonia,F,12.2,EST
Finland,M,8.3,FIN
Finland,F,9.9,FIN
France,M,12.1,FRA
France,F,12.6,FRA
Germany,M,6.5,DEU
Germany,F,11.0,DEU
Greece,M,16.9,GRC
Greece,F,18.0,GRC
Hungary,M,8.7,HUN
Hungary,F,13.4,HUN
Iceland,M,6.6,ISL
Iceland,F,4.8,ISL
Ireland,M,10.5,IRL
Ireland,F,12.4,IRL
Italy,M,19.9,ITA
Italy,F,24.9,ITA
Latvia,M,10.0,LVA
Latvia,F,10.6,LVA
Lithuania,M,10.9,LTU
Lithuania,F,11.0,LTU
Luxembourg,M,7.0,LUX
Luxembourg,F,5.9,LUX
Malta,M,6.3,MLT
Malta,F,9.6,MLT
Montenegro,M,21.0,MNE
Montenegro,F,21.5,MNE
Netherlands,M,5.7,NLD
Netherlands,F,6.9,NLD
North Macedonia,M,20.9,MKD
North Macedonia,F,28.3,MKD
Norway,M,6.3,NOR
Norway,F,8.8,NOR
Poland,M,8.0,POL
Poland,F,16.2,POL
Portugal,M,8.3,PRT
Portugal,F,10.1,PRT
Romania,M,16.2,ROU
Romania,F,25.8,ROU
Serbia,M,17.5,SRB
Serbia,F,21.2,SRB
Slovakia,M,10.3,SVK
Slovakia,F,17.2,SVK
Slovenia,M,5.9,SVN
Slovenia,F,9.2,SVN
Spain,M,14.4,ESP
Spain,F,15.4,ESP
Sweden,M,6.0,SWE
Sweden,F,5.9,SWE
Switzerland,M,6.5,CHE
Switzerland,F,6.0,CHE
Türkiye,M,18.3,TUR
Türkiye,F,40.8,TUR
