name,sex,percentage,abbreviation
Austria,M,9.6,AUT
Austria,F,10.2,AUT
Belgium,M,10.3,BEL
Belgium,F,12.4,BEL
Bulgaria,M,14.8,BGR
Bulgaria,F,21.7,BGR
Croatia,M,13.3,HRV
Croatia,F,16.0,HRV
Cyprus,M,14.2,CYP
Cyprus,F,16.3,CYP
Czechia,M,4.7,CZE
Czechia,F,17.6,CZE
Denmark,M,9.9,DNK
Denmark,F,10.5,DNK
Estonia,M,9.3,EST
Estonia,F,12.9,EST
Finland,M,9.6,FIN
Finland,F,9.9,FIN
France,M,13.1,FRA
France,F,13.7,FRA
Germany,M,8.6,DEU
Germany,F,10.7,DEU
Greece,M,18.5,GRC
Greece,F,18.5,GRC
Hungary,M,10.0,HUN
Hungary,F,14.8,HUN
Iceland,M,6.7,ISL
Iceland,F,7.4,ISL
Ireland,M,13.8,IRL
Ireland,F,14.5,IRL
Italy,M,21.0,ITA
Italy,F,26.1,ITA
Latvia,M,11.3,LVA
Latvia,F,12.6,LVA
Lithuania,M,13.6,LTU
Lithuania,F,12.4,LTU
Luxembourg,M,8.7,LUX
Luxembourg,F,6.6,LUX
Malta,M,8.5,MLT
Malta,F,10.5,MLT
Montenegro,M,26.2,MNE
Montenegro,F,26.9,MNE
Netherlands,M,5.5,NLD
Netherlands,F,7.2,NLD
North Macedonia,M,23.6,MKD
North Macedonia,F,29.0,MKD
Norway,M,7.2,NOR
Norway,F,8.5,NOR
Poland,M,9.3,POL
Poland,F,17.1,POL
Portugal,M,11.0,PRT
Portugal,F,11.1,PRT
Romania,M,15.7,ROU
Romania,F,25.9,ROU
Serbia,M,18.8,SRB
Serbia,F,21.9,SRB
Slovakia,M,11.1,SVK
Slovakia,F,17.8,SVK
Slovenia,M,6.9,SVN
Slovenia,F,8.9,SVN
Spain,M,17.3,ESP
Spain,F,17.3,ESP
Sweden,M,6.9,SWE
Sweden,F,6.8,SWE
Switzerland,M,6.6,CHE
Switzerland,F,5.9,CHE
Türkiye,M,21.3,TUR
Türkiye,F,42.8,TUR
