name,sex,percentage,abbreviation
Austria,M,8.6,AUT
Austria,F,10.9,AUT
Belgium,M,12.3,BEL
Belgium,F,14.2,BEL
Bulgaria,M,21.2,BGR
Bulgaria,F,26.9,BGR
Croatia,M,22.4,HRV
Croatia,F,21.2,HRV
Cyprus,M,20.5,CYP
Cyprus,F,18.5,CYP
Czechia,M,7.0,CZE
Czechia,F,17.4,CZE
Denmark,M,7.4,DNK
Denmark,F,8.7,DNK
Estonia,M,11.2,EST
Estonia,F,15.2,EST
Finland,M,11.4,FIN
Finland,F,11.1,FIN
France,M,12.9,FRA
France,F,13.9,FRA
Germany,M,7.4,DEU
Germany,F,12.4,DEU
Greece,M,25.7,GRC
Greece,F,26.9,GRC
Hungary,M,12.2,HUN
Hungary,F,17.2,HUN
Iceland,M,7.2,ISL
Iceland,F,6.5,ISL
Ireland,M,17.3,IRL
Ireland,F,18.2,IRL
Italy,M,24.3,ITA
Italy,F,28.4,ITA
Latvia,M,12.6,LVA
Latvia,F,17.9,LVA
Lithuania,M,11.5,LTU
Lithuania,F,14.3,LTU
Luxembourg,M,7.3,LUX
Luxembourg,F,5.6,LUX
Malta,M,8.9,MLT
Malta,F,14.5,MLT
Montenegro,M,22.5,MNE
Montenegro,F,22.5,MNE
Netherlands,M,6.6,NLD
Netherlands,F,9.9,NLD
North Macedonia,M,27.8,MKD
North Macedonia,F,36.2,MKD
Norway,M,7.1,NOR
Norway,F,9.8,NOR
Poland,M,13.7,POL
Poland,F,17.9,POL
Portugal,M,14.0,PRT
Portugal,F,15.3,PRT
Romania,M,21.7,ROU
Romania,F,28.1,ROU
Serbia,M,24.5,SRB
Serbia,F,27.6,SRB
Slovakia,M,15.8,SVK
Slovakia,F,19.2,SVK
Slovenia,M,10.0,SVN
Slovenia,F,12.1,SVN
Spain,M,20.5,ESP
Spain,F,20.9,ESP
Sweden,M,7.5,SWE
Sweden,F,7.3,SWE
Switzerland,M,7.4,CHE
Switzerland,F,8.0,CHE
Türkiye,M,14.6,TUR
Türkiye,F,42.3,TUR
