name,sex,percentage,abbreviation
Austria,M,7.1,AUT
Austria,F,10.1,AUT
Belgium,M,11.8,BEL
Belgium,F,15.4,BEL
Bulgaria,M,23.0,BGR
Bulgaria,F,26.5,BGR
Croatia,M,20.0,HRV
Croatia,F,19.3,HRV
Cyprus,M,17.2,CYP
Cyprus,F,17.4,CYP
Czechia,M,8.4,CZE
Czechia,F,17.7,CZE
Denmark,M,8.9,DNK
Denmark,F,9.0,DNK
Estonia,M,11.6,EST
Estonia,F,16.6,EST
Finland,M,9.0,FIN
Finland,F,10.7,FIN
France,M,11.7,FRA
France,F,13.2,FRA
Germany,M,7.9,DEU
Germany,F,13.3,DEU
Greece,M,25.1,GRC
Greece,F,27.7,GRC
Hungary,M,15.3,HUN
Hungary,F,18.5,HUN
Iceland,M,7.5,ISL
Iceland,F,6.4,ISL
Ireland,M,23.0,IRL
Ireland,F,20.3,IRL
Italy,M,21.4,ITA
Italy,F,26.6,ITA
Latvia,M,16.0,LVA
Latvia,F,18.4,LVA
Lithuania,M,14.8,LTU
Lithuania,F,13.0,LTU
Luxembourg,M,6.1,LUX
Luxembourg,F,9.0,LUX
Malta,M,9.3,MLT
Malta,F,14.7,MLT
Montenegro,M,23.3,MNE
Montenegro,F,25.7,MNE
Netherlands,M,5.6,NLD
Netherlands,F,8.9,NLD
North Macedonia,M,30.2,MKD
North Macedonia,F,34.1,MKD
Norway,M,6.4,NOR
Norway,F,8.9,NOR
Poland,M,13.6,POL
Poland,F,18.2,POL
Portugal,M,15.5,PRT
Portugal,F,15.7,PRT
Romania,M,21.3,ROU
Romania,F,27.4,ROU
Serbia,M,28.4,SRB
Serbia,F,33.1,SRB
Slovakia,M,16.5,SVK
Slovakia,F,19.6,SVK
Slovenia,M,9.7,SVN
Slovenia,F,10.5,SVN
Spain,M,22.8,ESP
Spain,F,21.6,ESP
Sweden,M,7.8,SWE
Sweden,F,8.0,SWE
Switzerland,M,6.8,CHE
Switzerland,F,8.7,CHE
Türkiye,M,16.6,TUR
Türkiye,F,46.7,TUR
