name,abundance,abbreviation,group
Türkiye,5088,TUR,1500k +
Italy,2415,ITA,1500k +
France,1518,FRA,1500k +
Spain,1483,ESP,1000k - 1500k
Germany,1323,DEU,1000k - 1500k
Poland,1093,POL,1000k - 1500k
Romania,907,ROU,500k - 1000k
Greece,455,GRC,200k - 500k
Serbia,328,SRB,200k - 500k
Bulgaria,293,BGR,200k - 500k
Belgium,269,BEL,200k - 500k
Netherlands,254,NLD,200k - 500k
Hungary,253,HUN,200k - 500k
Portugal,245,PRT,200k - 500k
Czechia,219,CZE,200k - 500k
Slovakia,193,SVK,100k - 200k
Croatia,166,HRV,100k - 200k
Ireland,155,IRL,100k - 200k
Austria,149,AUT,100k - 200k
North Macedonia,146,MKD,100k - 200k
Sweden,136,SWE,100k - 200k
Switzerland,113,CHE,100k - 200k
Finland,109,FIN,100k - 200k
Norway,85,NOR,< 100k
Denmark,85,DNK,< 100k
Lithuania,73,LTU,< 100k
Latvia,54,LVA,< 100k
Slovenia,38,SVN,< 100k
Cyprus,35,CYP,< 100k
Estonia,32,EST,< 100k
Montenegro,30,MNE,< 100k
Malta,10,MLT,< 100k
Luxembourg,6,LUX,< 100k
Iceland,4,ISL,< 100k
